Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Class Function,"Axios",0,0,0,0,0,0,0,0,2,0,,0,0,,,,1,4,0,0,0,1,1,0,0,0,7,,7,,0,,0,,7,7,,0,,0,,1,0,3,1,1,,2,2,,1,1,1,1,0,0,0,1,0,,1,1,1,1
Class Function,"Cancel",0,0,0,0,0,0,0,0,0,0,,0,0,,,,1,2,0,0,0,1,1,0,0,0,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,0,0,0,0,0,,1,1,1,1
Class Function,"CancelToken",1,1,1,1,6,0,5,0,0,0,,0,0,,,,0,2,0,0,0,0,0,0,0,0,21,,21,,3,,3,,17,17,,1,,1,,2,0,14,5,5,,9,9,,2,2,2,1,2,2,1,0,1,,5,5,5,3
Function,"CancelToken.cancel",,,,,,,,,,,,,,,,,,,,,,,,,,,9,,9,,1,,1,,7,7,,1,,1,,2,0,5,1,1,,4,4,,2,2,2,1,,,,,1,,2,2,2,1
Function,"CancelToken.promiseExecutor",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Class Function,"InterceptorManager",0,0,0,0,0,0,0,0,0,0,,0,0,,,,1,3,0,0,0,1,1,0,0,0,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,0,0,0,0,0,,1,1,1,1
Function,"all",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"bind",,,,,,,,,,,,,,,,,,,,,,,,,,,9,,9,,0,,0,,9,9,,0,,0,,1,0,7,3,3,,4,4,,1,1,1,1,,,,,0,,3,3,3,2
Function,"bind.wrap",,,,,,,,,,,,,,,,,,,,,,,,,,,7,,7,,0,,0,,7,7,,0,,0,,2,0,5,2,2,,3,3,,2,2,2,1,,,,,1,,2,2,2,1
Function,"buildFullPath",,,,,,,,,,,,,,,,,,,,,,,,,,,6,,6,,0,,0,,6,6,,0,,0,,2,0,4,1,1,,3,3,,2,2,3,1,,,,,1,,2,2,3,1
Function,"buildURL",,,,,,,,,,,,,,,,,,,,,,,,,,,49,,49,,8,,8,,40,40,,1,,1,,10,1,30,6,6,,24,24,,7,7,7,1,,,,,2,,13,13,14,3
Function,"buildURL.serialize",,,,,,,,,,,,,,,,,,,,,,,,,,,20,,20,,2,,2,,18,18,,0,,0,,3,0,13,2,2,,11,11,,3,3,4,1,,,,,1,,6,6,7,2
Function,"buildURL.serialize.parseValue",,,,,,,,,,,,,,,,,,,,,,,,,,,8,,8,,0,,0,,8,8,,0,,0,,3,0,6,1,1,,5,5,,3,3,3,1,,,,,2,,3,3,3,1
Function,"combineURLs",,,,,,,,,,,,,,,,,,,,,,,,,,,5,,5,,0,,0,,5,5,,0,,0,,1,0,2,1,1,,1,1,,2,2,2,1,,,,,0,,2,2,2,1
Function,"create",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"createError",,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,,0,,0,,4,4,,0,,0,,1,0,3,2,2,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"createInstance",,,,,,,,,,,,,,,,,,,,,,,,,,,12,,12,,3,,3,,7,7,,2,,2,,1,0,6,3,3,,3,3,,1,1,1,1,,,,,0,,1,1,1,1
Function,"defaults.transformRequest.transformRequest",,,,,,,,,,,,,,,,,,,,,,,,,,,25,,25,,0,,0,,25,25,,0,,0,,5,1,14,1,1,,13,13,,5,5,10,5,,,,,1,,5,5,10,5
Function,"defaults.transformResponse.transformResponse",,,,,,,,,,,,,,,,,,,,,,,,,,,9,,9,,0,,0,,8,8,,2,,2,,3,0,5,1,1,,4,4,,3,3,3,1,,,,,2,,3,3,3,1
Function,"defaults.validateStatus.validateStatus",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,2,1,,,,,0,,1,1,2,1
Function,"deprecatedMethod",,,,,,,,,,,,,,,,,,,,,,,,,,,12,,12,,1,,1,,11,11,,1,,1,,3,0,5,1,1,,4,4,,4,4,4,1,,,,,2,,4,4,4,1
Function,"dispatchRequest",,,,,,,,,,,,,,,,,,,,,,,,,,,57,,57,,10,,10,,42,42,,5,,5,,1,0,20,5,5,,15,15,,1,1,5,1,,,,,0,,6,6,11,4
Function,"dispatchRequest.cleanHeaderConfig",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"dispatchRequest.onAdapterRejection",,,,,,,,,,,,,,,,,,,,,,,,,,,16,,16,,2,,2,,13,13,,1,,1,,3,0,6,1,1,,5,5,,3,3,4,1,,,,,2,,3,3,4,1
Function,"dispatchRequest.onAdapterResolution",,,,,,,,,,,,,,,,,,,,,,,,,,,12,,12,,2,,2,,9,9,,1,,1,,1,0,4,1,1,,3,3,,1,1,1,1,,,,,0,,1,1,1,1
Function,"eject",,,,,,,,,,,,,,,,,,,,,,,,,,,5,,5,,0,,0,,5,5,,0,,0,,2,0,3,1,1,,2,2,,2,2,2,1,,,,,1,,2,2,2,1
Function,"encode",,,,,,,,,,,,,,,,,,,,,,,,,,,9,,9,,0,,0,,9,9,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"enhanceError",,,,,,,,,,,,,,,,,,,,,,,,,,,30,,30,,2,,2,,24,24,,4,,4,,2,0,11,2,2,,9,9,,2,2,2,1,,,,,1,,3,3,3,2
Function,"enhanceError.toJSON",,,,,,,,,,,,,,,,,,,,,,,,,,,18,,18,,0,,0,,14,14,,4,,4,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"extend",,,,,,,,,,,,,,,,,,,,,,,,,,,10,,10,,0,,0,,10,10,,0,,0,,1,0,7,2,2,,5,5,,1,1,1,1,,,,,0,,3,3,4,2
Function,"extend.assignValue",,,,,,,,,,,,,,,,,,,,,,,,,,,7,,7,,0,,0,,7,7,,0,,0,,2,0,4,1,1,,3,3,,2,2,3,1,,,,,1,,2,2,3,1
Function,"forEach",,,,,,,,,,,,,,,,,,,,,,,,,,,26,,26,,2,,2,,19,19,,5,,5,,11,1,11,1,1,,10,10,,7,7,8,1,,,,,3,,7,7,8,1
Function,"forEach",,,,,,,,,,,,,,,,,,,,,,,,,,,7,,7,,0,,0,,7,7,,0,,0,,1,0,5,2,2,,3,3,,1,1,1,1,,,,,0,,3,3,3,2
Function,"forEach.forEachHandler",,,,,,,,,,,,,,,,,,,,,,,,,,,5,,5,,0,,0,,5,5,,0,,0,,2,0,3,1,1,,2,2,,2,2,2,1,,,,,1,,2,2,2,1
Function,"forEachMethodNoData",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"forEachMethodNoData",,,,,,,,,,,,,,,,,,,,,,,,,,,10,,10,,0,,0,,9,9,,1,,1,,1,0,4,2,2,,2,2,,1,1,1,1,,,,,0,,2,2,4,2
Unnamed Function,"forEachMethodNoData.(unnamed_function_1)",,,,,,,,,,,,,,,,,,,,,,,,,,,7,,7,,0,,0,,7,7,,0,,0,,1,0,2,1,1,,1,1,,1,1,3,1,,,,,0,,1,1,3,1
Function,"forEachMethodWithData",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"forEachMethodWithData",,,,,,,,,,,,,,,,,,,,,,,,,,,10,,10,,0,,0,,9,9,,1,,1,,1,0,4,2,2,,2,2,,1,1,1,1,,,,,0,,2,2,3,2
Unnamed Function,"forEachMethodWithData.(unnamed_function_2)",,,,,,,,,,,,,,,,,,,,,,,,,,,7,,7,,0,,0,,7,7,,0,,0,,1,0,2,1,1,,1,1,,1,1,2,1,,,,,0,,1,1,2,1
Function,"getDefaultAdapter",,,,,,,,,,,,,,,,,,,,,,,,,,,11,,11,,0,,0,,9,9,,2,,2,,3,0,7,2,2,,5,5,,3,3,4,1,,,,,2,,3,3,4,1
Function,"getUri",,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,,0,,0,,4,4,,0,,0,,1,0,3,1,1,,2,2,,1,1,1,1,,,,,0,,1,1,1,1
Function,"httpAdapter",,,,,,,,,,,,,,,,,,,,,,,,,,,259,,259,,36,,36,,199,199,,24,,24,,1,0,141,46,46,,95,95,,1,1,1,1,,,,,0,,57,55,76,21
Function,"httpAdapter.dispatchHttpRequest",,,,,,,,,,,,,,,,,,,,,,,,,,,257,,257,,36,,36,,197,197,,24,,24,,131074,5,139,45,45,,94,94,,29,29,41,5,,,,,4,,56,54,75,20
Function,"httpAdapter.dispatchHttpRequest.handleRequestError",,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,,0,,0,,4,4,,0,,0,,2,0,4,1,1,,3,3,,2,2,3,1,,,,,1,,2,2,3,1
Function,"httpAdapter.dispatchHttpRequest.handleRequestTimeout",,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,,0,,0,,4,4,,0,,0,,1,0,3,1,1,,2,2,,1,1,1,1,,,,,0,,1,1,1,1
Function,"httpAdapter.dispatchHttpRequest.handleStreamError",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"httpAdapter.dispatchHttpRequest.noProxy.trim",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"httpAdapter.dispatchHttpRequest.onCanceled",,,,,,,,,,,,,,,,,,,,,,,,,,,6,,6,,1,,1,,5,5,,0,,0,,2,0,5,1,1,,4,4,,2,2,2,1,,,,,1,,2,2,2,1
Function,"httpAdapter.dispatchHttpRequest.proxyMatch",,,,,,,,,,,,,,,,,,,,,,,,,,,14,,14,,1,,1,,13,13,,0,,0,,4,1,8,1,1,,7,7,,4,4,5,4,,,,,1,,4,4,5,4
Function,"httpAdapter.dispatchHttpRequest.reject.reject",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"httpAdapter.dispatchHttpRequest.req.handleResponse",,,,,,,,,,,,,,,,,,,,,,,,,,,69,,69,,11,,11,,51,51,,7,,7,,7,1,35,9,9,,26,26,,7,5,10,1,,,,,2,,14,12,19,4
Function,"httpAdapter.dispatchHttpRequest.req.handleResponse.handleStreamData",,,,,,,,,,,,,,,,,,,,,,,,,,,10,,10,,1,,1,,8,8,,1,,1,,2,0,5,1,1,,4,4,,2,2,3,1,,,,,1,,2,2,3,1
Function,"httpAdapter.dispatchHttpRequest.req.handleResponse.handleStreamEnd",,,,,,,,,,,,,,,,,,,,,,,,,,,12,,12,,1,,1,,11,11,,0,,0,,3,0,8,2,2,,6,6,,3,3,4,1,,,,,2,,3,3,4,1
Function,"httpAdapter.dispatchHttpRequest.req.handleResponse.handleStreamError",,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,,0,,0,,4,4,,0,,0,,2,0,4,1,1,,3,3,,2,2,2,1,,,,,1,,2,2,2,1
Function,"httpAdapter.dispatchHttpRequest.resolve.resolve",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"isAbsoluteURL",,,,,,,,,,,,,,,,,,,,,,,,,,,6,,6,,0,,0,,3,3,,4,,4,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"isArray",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"isArrayBuffer",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"isArrayBufferView",,,,,,,,,,,,,,,,,,,,,,,,,,,9,,9,,0,,0,,9,9,,0,,0,,2,0,6,2,2,,4,4,,2,2,5,1,,,,,1,,2,2,5,1
Function,"isAxiosError",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,2,1,,,,,0,,1,1,2,1
Function,"isBlob",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"isBuffer",,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,,0,,0,,4,4,,0,,0,,1,0,2,1,1,,1,1,,1,1,6,1,,,,,0,,1,1,6,1
Function,"isCancel",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,2,1,,,,,0,,1,1,2,1
Function,"isDate",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"isFile",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"isFormData",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,2,1,,,,,0,,1,1,2,1
Function,"isFunction",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"isNumber",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"isObject",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,2,1,,,,,0,,1,1,2,1
Function,"isPlainObject",,,,,,,,,,,,,,,,,,,,,,,,,,,8,,8,,1,,1,,7,7,,0,,0,,2,0,5,2,2,,3,3,,2,2,3,1,,,,,1,,2,2,3,1
Function,"isStandardBrowserEnv",,,,,,,,,,,,,,,,,,,,,,,,,,,11,,11,,0,,0,,11,11,,0,,0,,2,0,4,1,1,,3,3,,2,2,6,1,,,,,1,,2,2,6,1
Function,"isStream",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,2,1,,,,,0,,1,1,2,1
Function,"isString",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
Function,"isURLSearchParams",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,2,1,,,,,0,,1,1,2,1
Function,"isUndefined",,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,0,,0,,3,3,,0,,0,,1,0,2,1,1,,1,1,,1,1,1,1,,,,,0,,1,1,1,1
